,ID,N_VICTIMAS,FECHA,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,COORDENADAS_X,COORDENADAS_Y,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE
36,2016-0049,1,2016-04-17,00:00:00,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0700,AUTOPISTA,4,-58.37714647568196,-34.63657525428238,SD-SD,NO IDENTIFICADO,NO IDENTIFICADO,2016,NO IDENTIFICADO,NO IDENTIFICADO,42,2016-04-17,1
37,2016-0050,1,2016-04-19,09:50:00,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,78,2016-04-19,1
38,2016-0051,1,2016-04-20,04:00:00,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,36,2016-04-20,1
39,2016-0052,1,2016-04-20,20:00:00,AUTOPISTA LUGONES PK 10000,AUTOPISTA,13,,,MOTO-SD,MOTO,NO IDENTIFICADO,2016,NO IDENTIFICADO,NO IDENTIFICADO,42,2016-04-20,1
40,2016-0053,1,2016-04-22,09:30:00,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,12,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,38,2016-04-22,1
41,2016-0054,1,2016-04-23,21:00:00,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,2016,CONDUCTOR,MASCULINO,30,2016-04-25,1
42,2016-0055,1,2016-04-25,20:30:00,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,2016,PEATON,MASCULINO,79,2016-04-28,1
43,2016-0056,1,2016-04-26,04:45:00,AV LUIS MARIA CAMPOS 30,AVENIDA,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,26,2016-04-26,1
44,2016-0058,1,2016-05-04,14:00:00,LIMA 1471,CALLE,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,2016,PEATON,FEMENINO,57,2016-05-08,1
45,2016-0059,1,2016-05-08,16:30:00,PASAJE CIUDADELA Y LIMA OESTE,CALLE,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,37,2016-05-26,1
46,2016-0064,1,2016-05-14,18:11:00,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,20,2016-05-14,1
47,2016-0065,1,2016-05-20,14:40:00,AV GAONA Y ESPINOSA,AVENIDA,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,20,2016-05-20,1
48,2016-0067,1,2016-05-21,17:00:00,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,8,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,PASAJERO_ACOMPAÑANTE,FEMENINO,30,2016-05-21,1
49,2016-0068,1,2016-05-22,22:00:00,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,58,2016-05-22,1
50,2016-0069,1,2016-05-23,03:30:00,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,2016,CONDUCTOR,MASCULINO,30,2016-05-23,1
51,2016-0073,1,2016-06-11,15:00:00,MAGARIÑOS CERVANTES 3900,CALLE,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,23,2016-06-11,1
52,2016-0074,1,2016-06-12,06:40:00,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,2016,CONDUCTOR,MASCULINO,60,2016-06-12,1
53,2016-0075,1,2016-06-12,23:13:00,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,42,2016-06-12,1
54,2016-0076,1,2016-06-13,16:20:00,AV SAN MARTIN Y CAMARONES,AVENIDA,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,FEMENINO,53,2016-06-13,1
55,2016-0077,1,2016-06-13,21:52:00,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,1,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,FEMENINO,42,2016-06-13,1
56,2016-0078,1,2016-06-13,23:01:00,AV BELGRANO Y AV JUJUY,AVENIDA,3,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO,2016,CONDUCTOR,MASCULINO,30,2016-06-13,1
57,2016-0079,1,2016-06-16,17:13:00,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,2016,CONDUCTOR,FEMENINO,51,2016-06-16,1
58,2016-0080,1,2016-06-18,06:42:00,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,9,-58.52927982,-34.63931752,AUTO-SD,AUTO,NO IDENTIFICADO,2016,CONDUCTOR,MASCULINO,60,2016-06-18,1
59,2016-0081,1,2016-06-22,07:42:00,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,12,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,40,2016-06-22,1
60,2016-0082,1,2016-06-27,18:24:00,AV LA PLATA 2384,AVENIDA,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,87,2016-07-05,1
61,2016-0083,1,2016-06-28,20:46:00,AV JUAN B ALBERDI Y PUAN,AVENIDA,6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,2016,PEATON,FEMENINO,76,2016-06-29,1
62,2016-0084,1,2016-06-29,22:00:00,CARLOS PELLEGRINI Y TUCUMAN,CALLE,1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,57,2016-07-08,1
63,2016-0085,1,2016-06-29,22:00:00,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,4,-58.42378834,-34.657341,MOTO-MOVIL,MOTO,OTRO,2016,NO IDENTIFICADO,MASCULINO,42,2016-06-29,1
64,2016-0086,1,2016-06-30,16:10:00,AV OLIVERA Y RAMON FALCON,AVENIDA,10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,75,2016-07-01,1
65,2016-0087,1,2016-07-02,00:10:00,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,23,2016-07-03,2
66,2016-0088,1,2016-07-11,15:30:00,CERETTI Y NUÑEZ,CALLE,12,-58.5015175,-34.56767549,PEATON-AUTO,PEATON,AUTO,2016,PEATON,FEMENINO,70,2016-07-14,2
67,2016-0089,1,2016-07-14,06:40:00,AV LUGONES Y LA PAMPA,AUTOPISTA,13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,35,2016-07-14,2
68,2016-0090,1,2016-07-14,22:00:00,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,5,-58.41971993,-34.6111224,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,60,2016-07-15,2
69,2016-0092,1,2016-07-15,11:00:00,AV GRAL PAZ Y AV LIBERTADOR,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,24,2016-07-15,2
70,2016-0093,1,2016-07-17,03:30:00,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,2016,CONDUCTOR,MASCULINO,35,2016-07-19,2
71,2016-0095,1,2016-07-23,06:12:00,MERCEDES Y AV GRAL MOSCONI,AVENIDA,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,29,2016-07-23,2
72,2016-0096,1,2016-07-25,07:00:00,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 23,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,42,2016-07-25,2
73,2016-0097,1,2016-07-26,18:45:00,SOLIS Y MEXICO,CALLE,1,-58.39038605,-34.6156281,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,80,2016-08-12,2
74,2016-0098,1,2016-07-27,16:08:00,AV SAN JUAN Y ALBERTI,AVENIDA,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,FEMENINO,43,2016-07-27,2
75,2016-0099,1,2016-07-29,16:00:00,AV GRAL MOSCONI Y AV GRAL PAZ,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,2016,CONDUCTOR,MASCULINO,45,2016-07-29,2
76,2016-0100,1,2016-08-03,23:27:00,AV GRAL PAZ Y DONADO,GRAL PAZ,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,57,2016-08-03,2
77,2016-0101,1,2016-08-07,19:42:00,AV GRAL PAZ Y JORGE CHAVEZ,GRAL PAZ,9,-58.52932872,-34.65014993,SD-SD,NO IDENTIFICADO,NO IDENTIFICADO,2016,NO IDENTIFICADO,MASCULINO,67,2016-08-07,2
78,2016-0102,1,2016-08-10,23:37:00,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,29,2016-08-10,2
79,2016-0104,1,2016-08-14,21:15:00,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,21,2016-08-15,2
80,2016-0105,1,2016-08-17,00:05:00,AV FEDERICO LACROZE Y FRAGA,AVENIDA,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,19,2016-08-26,2
81,2016-0106,1,2016-08-19,21:02:00,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,38,2016-08-19,2
82,2016-0107,1,2016-08-20,08:22:00,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,21,2016-08-20,2
83,2016-0109,1,2016-08-24,05:45:00,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2016,CONDUCTOR,FEMENINO,53,2016-08-24,2
84,2016-0110,1,2016-08-24,20:21:00,AV ALBERDI Y CARHUE,AVENIDA,9,-58.51232237,-34.6590353,PEATON-SD,PEATON,NO IDENTIFICADO,2016,PEATON,MASCULINO,57,2016-08-24,2
85,2016-0111,1,2016-08-25,09:30:00,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,27,2016-08-25,2
86,2016-0112,1,2016-08-27,04:40:00,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,24,2016-08-27,2
87,2016-0113,1,2016-08-27,16:45:00,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,FEMENINO,60,2016-08-27,2
88,2016-0114,1,2016-08-31,11:20:00,SALGUERO 1410,CALLE,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,2016,CICLISTA,FEMENINO,55,2016-08-31,2
89,2016-0115,1,2016-09-02,11:50:00,ARIAS Y TRONADOR,CALLE,12,-58.48935041,-34.54917673,SD-CARGAS,NO IDENTIFICADO,CARGAS,2016,NO IDENTIFICADO,MASCULINO,42,2016-09-02,2
90,2016-0116,1,2016-09-02,20:20:00,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,30,2016-09-02,2
91,2016-0117,1,2016-09-03,15:30:00,AV DEL LIBERTADOR Y TAGLE,AVENIDA,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,2016,CONDUCTOR,MASCULINO,43,2016-09-03,2
92,2016-0118,1,2016-09-04,03:30:00,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,2016,CONDUCTOR,MASCULINO,27,2016-09-04,2
93,2016-0119,1,2016-09-04,06:40:00,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,AVENIDA,12,-58.49659234,-34.56353635,SD-SD,NO IDENTIFICADO,NO IDENTIFICADO,2016,PASAJERO_ACOMPAÑANTE,FEMENINO,42,2016-09-04,2
94,2016-0122,1,2016-09-13,07:10:00,AV EVA PERON 4233,AVENIDA,9,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2016,CICLISTA,MASCULINO,49,2016-09-13,2
95,2016-0123,1,2016-09-14,09:00:00,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,AVENIDA,7,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,FEMENINO,58,2016-09-14,2
96,2016-0124,1,2016-09-16,15:24:00,AVDA RIVADAVIA Y RIVERA INDARTE,AVENIDA,7,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,67,2016-09-16,2
97,2016-0125,1,2016-09-17,12:14:00,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO,2016,CONDUCTOR,MASCULINO,30,2016-09-17,2
98,2016-0126,2,2016-09-18,22:45:00,IRIGOYEN Y TINOGASTA,CALLE,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,2016,CONDUCTOR,MASCULINO,37,2016-09-18,2
99,2016-0126,2,2016-09-18,22:45:00,IRIGOYEN Y TINOGASTA,CALLE,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,60,2016-09-18,2
100,2016-0127,1,2016-09-24,10:25:00,AV MARIANO ACOSTA Y AV CNEL ROCA,AVENIDA,8,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,50,2016-09-24,2
101,2016-0128,1,2016-10-02,11:30:00,CASTRO Y AV PAVON,AVENIDA,5,-58.41914024,-34.6305389,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,FEMENINO,81,2016-10-02,2
102,2016-0130,1,2016-10-04,12:30:00,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,AUTOPISTA,1,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,29,2016-10-04,2
103,2016-0131,1,2016-10-09,19:13:00,MIRAVE 3500,CALLE,4,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,35,2016-10-09,2
104,2016-0132,1,2016-10-10,02:30:00,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,3,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2016-10-10,2
105,2016-0133,1,2016-10-14,00:05:00,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,14,-58.40204698,-34.5834269,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,41,2016-10-25,2
106,2016-0134,1,2016-10-23,05:00:00,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,8,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,25,2016-10-23,2
107,2016-0135,1,2016-10-24,05:00:00,AV FIGUEROA ALCORTA Y PINEDO,AVENIDA,14,-58.42260225,-34.56403694,PEATON-SD,PEATON,NO IDENTIFICADO,2016,PEATON,MASCULINO,29,2016-10-25,2
108,2016-0136,1,2016-10-25,00:00:00,AU BUENOS AIRES - LA PLATA KM. 4,AUTOPISTA,4,,,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,NO IDENTIFICADO,42,2016-10-25,2
109,2016-0137,1,2016-10-25,00:39:00,AV SAN MARTIN Y LADINES,AVENIDA,11,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO,2016,CONDUCTOR,MASCULINO,30,2016-10-25,2
